lambda_nm,vprime,
587.4000244,0.1886934042,
587.2999878,0.1905940771,
587.2000122,0.1950888783,
587.0999756,0.1982179284,
587,0.2036460936,
586.9000244,0.2073636651,
586.7999878,0.2125356942,
586.7000122,0.2150550485,
586.5999756,0.2179806978,
586.5,0.2237772048,
586.4000244,0.2251137197,
586.2999878,0.2303578705,
586.2000122,0.2333052605,
586.0999756,0.2408713251,
586,0.2461991608,
585.9000244,0.2530891597,
585.7999878,0.2601079345,
585.7000122,0.2633123398,
585.5999756,0.2711062729,
585.5,0.2774339914,
585.4000244,0.2889913023,
585.2999878,0.296233505,
585.2000122,0.3039811254,
585.0999756,0.3130488396,
585,0.2959222496,
584.9000244,0.2653905749,
584.7999878,0.2689392269,
584.7000122,0.2774611413,
584.5999756,0.2620473802,
584.5,0.2053169757,
584.4000244,0.1978076547,
584.2999878,0.187094152,
584.2000122,0.1874108762,
584.0999756,0.1909531504,
584,0.1934799254,
583.9000244,0.1972917914,
583.7999878,0.2021282762,
583.7000122,0.2061983496,
583.5999756,0.2099383175,
583.5,0.2143701017,
583.4000244,0.2159540355,
583.2999878,0.2173975408,
583.2000122,0.2220028639,
583.0999756,0.2279170156,
583,0.2316567004,
582.9000244,0.2379106432,
582.7999878,0.2438963652,
582.7000122,0.2485215962,
582.5999756,0.257485956,
582.5,0.2627509832,
582.4000244,0.2694968879,
582.2999878,0.276891917,
582.2000122,0.2848218381,
582.0999756,0.2916767895,
582,0.3015473485,
581.9000244,0.3074503839,
581.7999878,0.3174124062,
581.7000122,0.3128616214,
581.5999756,0.2826170623,
581.5,0.2868458927,
581.4000244,0.2926806509,
581.2999878,0.3032692075,
581.2000122,0.3053075671,
581.0999756,0.2412896454,
581,0.2152989954,
580.9000244,0.2196796983,
580.7999878,0.2112816125,
580.7000122,0.1999752074,
580.5999756,0.2013642043,
580.5,0.2071966678,
580.4000244,0.2069805712,
580.2999878,0.2096903026,
580.2000122,0.2156121135,
580.0999756,0.2181677371,
580,0.225333944,
579.9000244,0.2274951637,
579.7999878,0.2361840755,
579.7000122,0.2381948382,
579.5999756,0.248951897,
579.5,0.2525129914,
579.4000244,0.2593618631,
579.2999878,0.2627671063,
579.2000122,0.2700159848,
579.0999756,0.2808946967,
579,0.2844991088,
578.9000244,0.2945171297,
578.7999878,0.3012644351,
578.7000122,0.3094805181,
578.5999756,0.3186940849,
578.5,0.3201975822,
578.4000244,0.2963423729,
578.2999878,0.3025920391,
578.2000122,0.3085990846,
578.0999756,0.3179032505,
578,0.3262513578,
577.9000244,0.3350324631,
577.7999878,0.2914498746,
577.7000122,0.2323406637,
577.5999756,0.2353999913,
577.5,0.2365500629,
577.4000244,0.2383167446,
577.2999878,0.2160917968,
577.2000122,0.2111972868,
577.0999756,0.21561113,
577,0.2193113118,
576.9000244,0.2242595255,
576.7999878,0.2303546518,
576.7000122,0.2373361439,
576.5999756,0.2411173284,
576.5,0.2470499575,
576.4000244,0.2526982725,
576.2999878,0.2563977242,
576.2000122,0.2625112832,
576.0999756,0.2680506706,
576,0.2754639983,
575.9000244,0.2838284075,
575.7999878,0.2911248207,
575.7000122,0.3007588387,
575.5999756,0.3069091737,
575.5,0.3184989989,
575.4000244,0.3196070194,
575.2999878,0.3066236675,
575.2000122,0.3111392558,
575.0999756,0.3191786408,
575,0.3266658187,
574.9000244,0.3391056359,
574.7999878,0.3453028202,
574.7000122,0.3577530086,
574.5999756,0.3266019523,
574.5,0.2531421781,
574.4000244,0.2479422987,
574.2999878,0.2558625042,
574.2000122,0.2624542117,
574.0999756,0.2663781047,
574,0.2424193919,
573.9000244,0.2259263843,
573.7999878,0.2288769931,
573.7000122,0.2356342226,
573.5999756,0.2386983037,
573.5,0.2477989644,
573.4000244,0.2449350953,
573.2999878,0.2508445382,
573.2000122,0.2579723597,
573.0999756,0.2640130222,
573,0.2727672756,
572.9000244,0.2778209746,
572.7999878,0.2857582569,
572.7000122,0.2936698496,
572.5999756,0.301022917,
572.5,0.3083841801,
572.4000244,0.3170182109,
572.2999878,0.3088224232,
572.2000122,0.3170008659,
572.0999756,0.3219372928,
572,0.3317385018,
571.9000244,0.3448395729,
571.7999878,0.3538195491,
571.7000122,0.3627882302,
571.5999756,0.3770810664,
571.5,0.3596855998,
571.4000244,0.2760871053,
571.2999878,0.2658382058,
571.2000122,0.273024559,
571.0999756,0.2773796022,
571,0.2866258621,
570.9000244,0.2930408716,
570.7999878,0.2847423255,
570.7000122,0.2437445223,
570.5999756,0.2369301468,
570.5,0.2410224527,
570.4000244,0.2447665036,
570.2999878,0.2548518479,
570.2000122,0.2573250234,
570.0999756,0.2667648196,
570,0.2685007453,
569.9000244,0.2741306126,
569.7999878,0.2822644413,
569.7000122,0.2893574536,
569.5999756,0.2994965911,
569.5,0.3032329082,
569.4000244,0.3071711361,
569.2999878,0.309663713,
569.2000122,0.3201580048,
569.0999756,0.326456517,
569,0.3414906263,
568.9000244,0.3469497561,
568.7999878,0.3603231907,
568.7000122,0.3674580455,
568.5999756,0.3826350272,
568.5,0.3839675784,
568.4000244,0.3108544946,
568.2999878,0.2775271237,
568.2000122,0.2841769755,
568.0999756,0.2913224697,
568,0.2985553145,
567.9000244,0.2995307446,
567.7999878,0.3084607422,
567.7000122,0.309487313,
567.5999756,0.2618489265,
567.5,0.2420007586,
567.4000244,0.2474384904,
567.2999878,0.2545934319,
567.2000122,0.2586719394,
567.0999756,0.2664050162,
567,0.2728721499,
566.9000244,0.2769618928,
566.7999878,0.2862081826,
566.7000122,0.2961578369,
566.5999756,0.2988967597,
566.5,0.3050282896,
566.4000244,0.312443465,
566.2999878,0.3246416152,
566.2000122,0.3301225007,
566.0999756,0.3414127231,
566,0.3512379527,
565.9000244,0.3608648181,
565.7999878,0.371784538,
565.7000122,0.385966152,
565.5999756,0.3955276906,
565.5,0.3666794896,
565.4000244,0.2934579551,
565.2999878,0.2883142829,
565.2000122,0.2945552766,
565.0999756,0.3042898476,
565,0.3107380867,
564.9000244,0.3195689917,
564.7999878,0.3275976777,
564.7000122,0.3372170329,
564.5999756,0.3197950423,
564.5,0.2549554706,
564.4000244,0.259670943,
564.2999878,0.2590664029,
564.2000122,0.2682702839,
564.0999756,0.2740931809,
564,0.2784532309,
563.9000244,0.2868492305,
563.7999878,0.2936348021,
563.7000122,0.3021751642,
563.5999756,0.3146114945,
563.5,0.3240658045,
563.4000244,0.3271195292,
563.2999878,0.3372818232,
563.2000122,0.3445290029,
563.0999756,0.3582338393,
563,0.3718079925,
562.9000244,0.3788767755,
562.7999878,0.3893027008,
562.7000122,0.3906945884,
562.5999756,0.3229152858,
562.5,0.2979840338,
562.4000244,0.302985549,
562.2999878,0.3098891675,
562.2000122,0.3203185499,
562.0999756,0.3289895952,
562,0.3345730305,
561.9000244,0.3476991057,
561.7999878,0.3620915711,
561.7000122,0.3608261049,
561.5999756,0.3138972521,
561.5,0.2647500634,
561.4000244,0.2662514746,
561.2999878,0.2786930799,
561.2000122,0.2795897126,
561.0999756,0.2931521833,
561,0.2980106175,
560.9000244,0.3031352758,
560.7999878,0.3162299395,
560.7000122,0.3200212121,
560.5999756,0.3298932612,
560.5,0.3420764804,
560.4000244,0.3520228565,
560.2999878,0.3498498201,
560.2000122,0.3641634881,
560.0999756,0.3734973371,
560,0.3856385946,
559.9000244,0.3665993512,
559.7999878,0.3102114797,
559.7000122,0.3051194847,
559.5999756,0.316704452,
559.5,0.3202137053,
559.4000244,0.3312527239,
559.2999878,0.3423688412,
559.2000122,0.3546371758,
559.0999756,0.3600352407,
559,0.3795649409,
558.9000244,0.3846891522,
558.7999878,0.3910701573,
558.7000122,0.3096271455,
558.5999756,0.2824445963,
558.5,0.2828342021,
558.4000244,0.2925457656,
558.2999878,0.2989856303,
558.2000122,0.2996365726,
558.0999756,0.315785259,
558,0.3159996867,
557.9000244,0.3224761188,
557.7999878,0.3314572275,
557.7000122,0.3421519399,
557.5999756,0.3468033671,
557.5,0.3618781567,
557.4000244,0.3736667633,
557.2999878,0.3842855394,
557.2000122,0.356205821,
557.0999756,0.3079027534,
557,0.3154060841,
556.9000244,0.3227612972,
556.7999878,0.3353763521,
556.7000122,0.340836972,
556.5999756,0.3587822616,
556.5,0.3614094853,
556.4000244,0.3741594255,
556.2999878,0.3896923065,
556.2000122,0.3997268677,
556.0999756,0.4139930606,
556,0.4069357514,
555.9000244,0.315348357,
555.7999878,0.2927964926,
555.7000122,0.2948766351,
555.5999756,0.2965194285,
555.5,0.3075271249,
555.4000244,0.3130200505,
555.2999878,0.3197684586,
555.2000122,0.334053725,
555.0999756,0.3337516487,
555,0.3459907174,
554.9000244,0.3529360592,
554.7999878,0.3707123995,
554.7000122,0.3719197214,
554.5999756,0.345859319,
554.5,0.3188628852,
554.4000244,0.3197666109,
554.2999878,0.3246493638,
554.2000122,0.3404091001,
554.0999756,0.3470656574,
554,0.3604200482,
553.9000244,0.3773083687,
553.7999878,0.3811196983,
553.7000122,0.3920183182,
553.5999756,0.4061672091,
553.5,0.4211315513,
553.4000244,0.4331916273,
553.2999878,0.4214639068,
553.2000122,0.315941453,
553.0999756,0.2965708673,
553,0.3024603426,
552.9000244,0.3113027811,
552.7999878,0.3200012445,
552.7000122,0.3312724531,
552.5999756,0.3369411528,
552.5,0.3480517864,
552.4000244,0.3542611301,
552.2999878,0.3641316891,
552.2000122,0.3762568533,
552.0999756,0.3387162685,
552,0.3270545304,
551.9000244,0.329823494,
551.7999878,0.3425146043,
551.7000122,0.3512723446,
551.5999756,0.3617057502,
551.5,0.3674356043,
551.4000244,0.3769741356,
551.2999878,0.3834815025,
551.2000122,0.395950228,
551.0999756,0.4108598828,
551,0.4221145809,
550.9000244,0.4337345362,
550.7999878,0.4541365802,
550.7000122,0.4310543835,
550.5999756,0.3241791725,
